prism:url	dc:identifier	dc:title	prism:publicationName	prism:coverDate	citedby-count	affiliation	institution_1	country_1	fundus_in_title	pub_year	abstract
https://api.elsevier.com/content/abstract/scopus_id/85100666740	SCOPUS_ID:85100666740	A survey on incorporating domain knowledge into deep learning for medical image analysis	Medical Image Analysis	2021-04-01	0	Beihang University, Beijing, China	Beihang University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85100666740
https://api.elsevier.com/content/abstract/scopus_id/85100162147	SCOPUS_ID:85100162147	Visual high dimensional industrial process monitoring based on deep discriminant features and t-SNE	Multidimensional Systems and Signal Processing	2021-04-01	0	East China University of Science and Technology, Shanghai, China	East China University of Science and Technology	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85100162147
https://api.elsevier.com/content/abstract/scopus_id/85100676834	SCOPUS_ID:85100676834	Artificial lizard search optimization (ALSO): a novel nature-inspired meta-heuristic algorithm	Soft Computing	2021-04-01	0	Indian Institute of Technology Roorkee, Roorkee, India	Indian Institute of Technology Roorkee	India	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85100676834
https://api.elsevier.com/content/abstract/scopus_id/85100678047	SCOPUS_ID:85100678047	Multi-objective particle swarm optimization with adaptive strategies for feature selection	Swarm and Evolutionary Computation	2021-04-01	0	Jiangsu University, Zhenjiang, China++Jiangsu Key Laboratory of Security Technology for Industrial Cyberspace, Zhenjiang, China	Jiangsu University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85100678047
https://api.elsevier.com/content/abstract/scopus_id/85095916539	SCOPUS_ID:85095916539	End-to-end multimodal affect recognition in real-world environments	Information Fusion	2021-04-01	1	Imperial College London, London, United Kingdom	Imperial College London	United Kingdom	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85095916539
https://api.elsevier.com/content/abstract/scopus_id/85103353437	SCOPUS_ID:85103353437	Emotion Recognition of Single-electrode EEG based on Multi-feature Combination in Time-frequency Domain	Journal of Physics: Conference Series	2021-03-16	0	Yunnan University, Kunming, China	Yunnan University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85103353437
https://api.elsevier.com/content/abstract/scopus_id/85099174135	SCOPUS_ID:85099174135	Cascaded hourglass feature fusing network for saliency detection	Neurocomputing	2021-03-07	0	University of Chinese Academy of Sciences, Beijing, China++Changchun Institute of Optics Fine Mechanics and Physics Chinese Academy of Sciences, Changchun, China	University of Chinese Academy of Sciences	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85099174135
https://api.elsevier.com/content/abstract/scopus_id/85097537400	SCOPUS_ID:85097537400	Rapid detection of seven indexes in sheep serum based on Raman spectroscopy combined with DOSC-SPA-PLSR-DS model	Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy	2021-03-05	1	Xinjiang University, Urumqi, China	Xinjiang University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85097537400
https://api.elsevier.com/content/abstract/scopus_id/85103283640	SCOPUS_ID:85103283640	Relative total variation structure analysis-based fusion method for hyperspectral and lidar data classification	Remote Sensing	2021-03-02	0	Xidian University, Xi'an, China	Xidian University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85103283640
https://api.elsevier.com/content/abstract/scopus_id/85092389255	SCOPUS_ID:85092389255	Generative Adversarial Capsule Network with ConvLSTM for Hyperspectral Image Classification	IEEE Geoscience and Remote Sensing Letters	2021-03-01	1	Southwest Jiaotong University, Chengdu, China	Southwest Jiaotong University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85092389255
https://api.elsevier.com/content/abstract/scopus_id/85101790261	SCOPUS_ID:85101790261	Joint artifact correction and super-resolution of image slicing and mapping system via a convolutional neural network	Optics Express	2021-03-01	0	Beihang University, Beijing, China	Beihang University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85101790261
https://api.elsevier.com/content/abstract/scopus_id/85096212144	SCOPUS_ID:85096212144	Bright Singularities: Polarimetric Calibration of Spaceborne PolSAR Systems	IEEE Geoscience and Remote Sensing Letters	2021-03-01	1	AEL Consultants, Cupar, United Kingdom	AEL Consultants	United Kingdom	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85096212144
https://api.elsevier.com/content/abstract/scopus_id/85086006559	SCOPUS_ID:85086006559	Using Sparse Representation Classifier (SRC) to Calculate Dynamic Coefficients for Multitask Joint Spatial Pyramid Matching	Iranian Journal of Science and Technology - Transactions of Electrical Engineering	2021-03-01	0	Amirkabir University of Technology, Tehran, Iran	Amirkabir University of Technology	Iran	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85086006559
https://api.elsevier.com/content/abstract/scopus_id/85098487921	SCOPUS_ID:85098487921	Embedded stacked group sparse autoencoder ensemble with L<inf>1</inf> regularization and manifold reduction	Applied Soft Computing	2021-03-01	0	Chongqing University, Chongqing, China	Chongqing University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85098487921
https://api.elsevier.com/content/abstract/scopus_id/85098595307	SCOPUS_ID:85098595307	Customized VGG19 Architecture for Pneumonia Detection in Chest X-Rays	Pattern Recognition Letters	2021-03-01	2	JIS University, Kolkata, India	JIS University	India	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85098595307
https://api.elsevier.com/content/abstract/scopus_id/85089867474	SCOPUS_ID:85089867474	Deep Multi-view Representation Learning for Video Anomaly Detection Using Spatiotemporal Autoencoders	Circuits, Systems, and Signal Processing	2021-03-01	0	SASTRA Deemed University, Thanjavur, India	SASTRA Deemed University	India	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85089867474
https://api.elsevier.com/content/abstract/scopus_id/85100561128	SCOPUS_ID:85100561128	Ensemble learning based automatic detection of tuberculosis in chest X-ray images using hybrid feature descriptors	Physical and Engineering Sciences in Medicine	2021-03-01	0	University of Engineering and Technology Taxila, Taxila, Pakistan	University of Engineering and Technology Taxila	Pakistan	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85100561128
https://api.elsevier.com/content/abstract/scopus_id/85083780782	SCOPUS_ID:85083780782	SECRET: Semantically Enhanced Classification of Real-World Tasks	IEEE Transactions on Computers	2021-03-01	0	Princeton University, Princeton, United States	Princeton University	United States	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85083780782
https://api.elsevier.com/content/abstract/scopus_id/85099614965	SCOPUS_ID:85099614965	Identifying service product features associated with visitor satisfaction and revisit intention: A focus on sports events	Journal of Destination Marketing and Management	2021-03-01	0	Panepistimion Makedonias, Thessaloniki, Greece	Panepistimion Makedonias	Greece	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85099614965
https://api.elsevier.com/content/abstract/scopus_id/85086440557	SCOPUS_ID:85086440557	Deep learning controller for nonlinear system based on Lyapunov stability criterion	Neural Computing and Applications	2021-03-01	0	Menofia University, Shibin El Kom, Egypt	Menofia University	Egypt	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85086440557
https://api.elsevier.com/content/abstract/scopus_id/85088825663	SCOPUS_ID:85088825663	Monitoring of Ball Bearing Based on Improved Real-Time OPTICS Clustering	Journal of Signal Processing Systems	2021-03-01	0	Institut de Thermique, Mécanique, Matériaux (ITheMM), Reims, France	Institut de Thermique, Mécanique, Matériaux (ITheMM)	France	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85088825663
https://api.elsevier.com/content/abstract/scopus_id/85096019549	SCOPUS_ID:85096019549	Gradient Boosting Feature Selection with Machine Learning Classifiers for Intrusion Detection on Power Grids	IEEE Transactions on Network and Service Management	2021-03-01	1	Dalhousie University, Halifax, Canada	Dalhousie University	Canada	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85096019549
https://api.elsevier.com/content/abstract/scopus_id/85097340030	SCOPUS_ID:85097340030	Machine Remaining Useful Life Prediction via an Attention-Based Deep Learning Approach	IEEE Transactions on Industrial Electronics	2021-03-01	6	A-Star, Institute for Infocomm Research, Singapore City, Singapore	A-Star, Institute for Infocomm Research	Singapore	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85097340030
https://api.elsevier.com/content/abstract/scopus_id/85096447791	SCOPUS_ID:85096447791	A hybrid neural network approach to combine textual information and rating information for item recommendation	Knowledge and Information Systems	2021-03-01	1	Wuhan University, Wuhan, China	Wuhan University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85096447791
https://api.elsevier.com/content/abstract/scopus_id/85097085605	SCOPUS_ID:85097085605	Gated temporal convolutional neural network and expert features for diagnosing and explaining physiological time series: A case study on heart rates	Computer Methods and Programs in Biomedicine	2021-03-01	1	Peking University, Beijing, China++Peking University Health Science Center, Beijing, China	Peking University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85097085605
https://api.elsevier.com/content/abstract/scopus_id/85102682974	SCOPUS_ID:85102682974	Blind deblurring of motion image based on multi-scale encoder-decoder network	Guangdianzi Jiguang/Journal of Optoelectronics Laser	2021-02-15	0	Northwest Normal University, Lanzhou, China	Northwest Normal University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85102682974
https://api.elsevier.com/content/abstract/scopus_id/85102397666	SCOPUS_ID:85102397666	Sufficient Context for Real-Time Semantic Segmentation	Journal of Physics: Conference Series	2021-02-11	0	Wuhan University of Technology, Wuhan, China	Wuhan University of Technology	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85102397666
https://api.elsevier.com/content/abstract/scopus_id/85091819972	SCOPUS_ID:85091819972	Multi-view feature transfer for click-through rate prediction	Information Sciences	2021-02-06	0	Anhui University, Hefei, China	Anhui University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85091819972
https://api.elsevier.com/content/abstract/scopus_id/85100657003	SCOPUS_ID:85100657003	A genetic algorithm to combine deep features for the aesthetic assessment of images containing faces	Sensors (Switzerland)	2021-02-02	0	University of Milano - Bicocca, Milan, Italy	University of Milano - Bicocca	Italy	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85100657003
https://api.elsevier.com/content/abstract/scopus_id/85094939167	SCOPUS_ID:85094939167	Multiobjective multiple features fusion: A case study in image segmentation	Swarm and Evolutionary Computation	2021-02-01	0	University of Shanghai for Science and Technology, Shanghai, China	University of Shanghai for Science and Technology	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85094939167
https://api.elsevier.com/content/abstract/scopus_id/85096359569	SCOPUS_ID:85096359569	A weighted feature transfer gan for medical image synthesis	Machine Vision and Applications	2021-02-01	0	Nanjing Normal University, Nanjing, China	Nanjing Normal University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85096359569
https://api.elsevier.com/content/abstract/scopus_id/85099883210	SCOPUS_ID:85099883210	Robust Mosaicing of Endomicroscopic Videos via Context-Weighted Correlation Ratio	IEEE Transactions on Biomedical Engineering	2021-02-01	0	Tianjin University, Tianjin, China	Tianjin University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85099883210
https://api.elsevier.com/content/abstract/scopus_id/85101193450	SCOPUS_ID:85101193450	Recurrent multi-fiber network for 3d mri brain tumor segmentation	Symmetry	2021-02-01	0	Qilu University of Technology, Jinan, China	Qilu University of Technology	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85101193450
https://api.elsevier.com/content/abstract/scopus_id/85078305540	SCOPUS_ID:85078305540	Deep green function convolution for improving saliency in convolutional neural networks	Visual Computer	2021-02-01	0	Polytechnique Montréal, Montreal, Canada	Polytechnique Montréal	Canada	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85078305540
https://api.elsevier.com/content/abstract/scopus_id/85101370630	SCOPUS_ID:85101370630	Attention-Aware and Semantic-Aware Network for RGB-D Indoor Semantic Segmentation	Jisuanji Xuebao/Chinese Journal of Computers	2021-02-01	0	Beijing University of Technology, Beijing, China++National Engineering Laboratory for Critical Technologies of Information Security Classified Protection, Beijing, China++Beijing Key Laboratory of Trusted Computing, Beijing, China	Beijing University of Technology	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85101370630
https://api.elsevier.com/content/abstract/scopus_id/85078820469	SCOPUS_ID:85078820469	Vehicle Re-Identification Using Distance-Based Global and Partial Multi-Regional Feature Learning	IEEE Transactions on Intelligent Transportation Systems	2021-02-01	1	Wuhan University, Wuhan, China	Wuhan University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85078820469
https://api.elsevier.com/content/abstract/scopus_id/85090236644	SCOPUS_ID:85090236644	Discriminative feature extraction for video person re-identification via multi-task network	Applied Intelligence	2021-02-01	3	Nanjing University of Post and TeleCommunications, Nanjing, China	Nanjing University of Post and TeleCommunications	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85090236644
https://api.elsevier.com/content/abstract/scopus_id/85100814093	SCOPUS_ID:85100814093	Deep feature fusion of fingerprint and online signature for multimodal biometrics	Computers	2021-02-01	0	Quaid-i-Azam University, Islamabad, Pakistan++University of Sindh, Jamshoro, Pakistan	Quaid-i-Azam University	Pakistan	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85100814093
https://api.elsevier.com/content/abstract/scopus_id/85091217348	SCOPUS_ID:85091217348	What makes the difference? An empirical comparison of fusion strategies for multimodal language analysis	Information Fusion	2021-02-01	0	The Open University, Milton Keynes, United Kingdom	The Open University	United Kingdom	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85091217348
https://api.elsevier.com/content/abstract/scopus_id/85095452848	SCOPUS_ID:85095452848	Image super-resolution based on dense convolutional auto-encoder blocks	Neurocomputing	2021-01-29	0	Tianjin University, Tianjin, China	Tianjin University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85095452848
https://api.elsevier.com/content/abstract/scopus_id/85099296901	SCOPUS_ID:85099296901	Multi-model deep learning ensemble for ECG heartbeat arrhythmia classification	European Signal Processing Conference	2021-01-24	0	Mansoura University, Mansoura, Egypt++Swansea University, Swansea, United Kingdom	Mansoura University	Egypt	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85099296901
https://api.elsevier.com/content/abstract/scopus_id/85099666993	SCOPUS_ID:85099666993	Large-Area, High-Resolution Birefringence Imaging with Polarization-Sensitive Fourier Ptychographic Microscopy	ACS Photonics	2021-01-20	0	Yonsei University, Seoul, South Korea	Yonsei University	South Korea	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85099666993
https://api.elsevier.com/content/abstract/scopus_id/85099157191	SCOPUS_ID:85099157191	Biosensor based on two-dimensional gradient guided-mode resonance filter	Optics Express	2021-01-18	0	National Chiao Tung University Taiwan, Hsinchu, Taiwan	National Chiao Tung University Taiwan	Taiwan	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85099157191
https://api.elsevier.com/content/abstract/scopus_id/85101778258	SCOPUS_ID:85101778258	Chinese description generation of dual attention images based on multi-modal fusion	Journal of Physics: Conference Series	2021-01-15	0	Southwest University for Nationalities, Chengdu, China	Southwest University for Nationalities	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85101778258
https://api.elsevier.com/content/abstract/scopus_id/85092439353	SCOPUS_ID:85092439353	MLDH-Fold: Protein fold recognition based on multi-view low-rank modeling	Neurocomputing	2021-01-15	3	Harbin Institute of Technology, Harbin, China++Beijing Institute of Technology, Beijing, China	Harbin Institute of Technology	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85092439353
https://api.elsevier.com/content/abstract/scopus_id/85099593708	SCOPUS_ID:85099593708	Enhanced Multiscale Feature Fusion Network for HSI Classification	IEEE Transactions on Geoscience and Remote Sensing	2021-01-01	0	Wuhan University, Wuhan, China	Wuhan University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85099593708
https://api.elsevier.com/content/abstract/scopus_id/85102634563	SCOPUS_ID:85102634563	A Novel Adaptive Hybrid Fusion Network for Multiresolution Remote Sensing Images Classification	IEEE Transactions on Geoscience and Remote Sensing	2021-01-01	0	Xidian University, Xi'an, China	Xidian University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85102634563
https://api.elsevier.com/content/abstract/scopus_id/85099551586	SCOPUS_ID:85099551586	Spatiotemporal Dilated Convolution with Uncertain Matching for Video-based Crowd Estimation	IEEE Transactions on Multimedia	2021-01-01	0	National Chiao Tung University Taiwan, Hsinchu, Taiwan	National Chiao Tung University Taiwan	Taiwan	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85099551586
https://api.elsevier.com/content/abstract/scopus_id/85100518897	SCOPUS_ID:85100518897	Robust monocular pose tracking of less-distinct objects based on Contour-part model	IEEE Transactions on Circuits and Systems for Video Technology	2021-01-01	0	National University of Defense Technology, Changsha, China	National University of Defense Technology	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85100518897
https://api.elsevier.com/content/abstract/scopus_id/85100833599	SCOPUS_ID:85100833599	Data-driven Estimation of Driver Attention using Calibration-free Eye Gaze and Scene Features	IEEE Transactions on Industrial Electronics	2021-01-01	0	Nanyang Technological University, Singapore City, Singapore	Nanyang Technological University	Singapore	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85100833599
https://api.elsevier.com/content/abstract/scopus_id/85098258009	SCOPUS_ID:85098258009	Research on method of image quality evaluation based on structural similarity	Lecture Notes in Electrical Engineering	2021-01-01	0	Xi'an Jiaotong University, Xi'an, China++State Key Laboratory of Astronautic Dynamics, Xi'an, China	Xi'an Jiaotong University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85098258009
https://api.elsevier.com/content/abstract/scopus_id/85086749013	SCOPUS_ID:85086749013	Computer-assisted human-computer interaction in visual communication	Computer-Aided Design and Applications	2021-01-01	1	Henan University of Animal Husbandry and Economy, Zhengzhou, China	Henan University of Animal Husbandry and Economy	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85086749013
https://api.elsevier.com/content/abstract/scopus_id/85091339828	SCOPUS_ID:85091339828	Content-Based Image Retrieval Using Statistical Color Occurrence Feature on Multiresolution Dataset	Advances in Intelligent Systems and Computing	2021-01-01	0	National Institute of Technology, Warangal, Warangal, India	National Institute of Technology, Warangal	India	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85091339828
https://api.elsevier.com/content/abstract/scopus_id/85087478504	SCOPUS_ID:85087478504	Image Inpainting Detection Based on Multi-task Deep Learning Network	IETE Technical Review (Institution of Electronics and Telecommunication Engineers, India)	2021-01-01	0	Beijing University of Posts and Telecommunications, Beijing, China	Beijing University of Posts and Telecommunications	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85087478504
https://api.elsevier.com/content/abstract/scopus_id/85092135352	SCOPUS_ID:85092135352	Automated Prediction of Cervical Precancer Based on Deep Learning	Lecture Notes in Electrical Engineering	2021-01-01	0	Tianjin University of Technology, Tianjin, China	Tianjin University of Technology	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85092135352
https://api.elsevier.com/content/abstract/scopus_id/85097649601	SCOPUS_ID:85097649601	A Novel Fusion Framework for Salient Object Detection Based on Support Vector Regression	Lecture Notes in Electrical Engineering	2021-01-01	0	National Institute of Technology, Uttarakhand, Sumari, India	National Institute of Technology, Uttarakhand	India	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85097649601
https://api.elsevier.com/content/abstract/scopus_id/85102178012	SCOPUS_ID:85102178012	Gradient information distillation network for real-time single-image super-resolution	Journal of Real-Time Image Processing	2021-01-01	1	Sichuan University, Chengdu, China	Sichuan University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85102178012
https://api.elsevier.com/content/abstract/scopus_id/85098575197	SCOPUS_ID:85098575197	Image retrieval system based on multi feature extraction and its performance assessment	International Journal of Information Technology (Singapore)	2021-01-01	0	Godavari Institute of Engineering and Technology, Rajahmundry, India++Saveetha School of Engineering, Chennai, India	Godavari Institute of Engineering and Technology	India	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85098575197
https://api.elsevier.com/content/abstract/scopus_id/85103012701	SCOPUS_ID:85103012701	Unsupervised segmentation of leukocytes images using particle swarm	VISIGRAPP 2021 - Proceedings of the 16th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications	2021-01-01	0	Universidade Federal de Uberlandia, Uberlandia, Brazil	Universidade Federal de Uberlandia	Brazil	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85103012701
https://api.elsevier.com/content/abstract/scopus_id/85100568447	SCOPUS_ID:85100568447	Accuracy analysis of Japanese machine translation based on machine learning and image feature retrieval	Journal of Intelligent and Fuzzy Systems	2021-01-01	0	Beijing Foreign Studies University, Beijing, China	Beijing Foreign Studies University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85100568447
https://api.elsevier.com/content/abstract/scopus_id/85096448826	SCOPUS_ID:85096448826	A Study of Hybrid Approach for Face Recognition Using Student Database	Lecture Notes in Networks and Systems	2021-01-01	0	Dr. Babasaheb Ambedkar Marathwada University, Aurangabad, India	Dr. Babasaheb Ambedkar Marathwada University	India	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85096448826
https://api.elsevier.com/content/abstract/scopus_id/85100613311	SCOPUS_ID:85100613311	Image Captioning with Dense Fusion Connection and Improved Stacked Attention Module	Neural Processing Letters	2021-01-01	0	Northeastern University, China, Shenyang, China	Northeastern University, China	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85100613311
https://api.elsevier.com/content/abstract/scopus_id/85100066860	SCOPUS_ID:85100066860	A multi-scale feature extraction-based normalized attention neural network for image denoising	Electronics (Switzerland)	2021-01-01	1	Beihang University, Beijing, China	Beihang University	China	0	2021	https://api.elsevier.com/content/abstract/scopus_id/85100066860
